EcoBoundaryID,AdminBoundaryID,SpeciesTypeID,StratumID,SecondaryStratumID,StateClassID,AverageTemperature
Mixedwood Plains,Ontario,Spruce - Genus type,Huron/Erie Lake Plains,Michigan,Forest: Spruce/Fir Group,7.836495471
Mixedwood Plains,Ontario,Spruce - Genus type,Lake Agassiz Plain,Minnesota,Forest: Spruce/Fir Group,3.742610387
Mixedwood Plains,Ontario,Spruce - Genus type,Northern Minnesota Wetlands,Minnesota,Forest: Spruce/Fir Group,3.63253471
Boreal Shield West,Ontario,Spruce - Genus type,Northern Lakes and Forests,Minnesota,Forest: Spruce/Fir Group,3.728504576
Mixedwood Plains,Ontario,Spruce - Genus type,North Central Hardwood Forests,Minnesota,Forest: Spruce/Fir Group,5.513294734
Mixedwood Plains,Quebec,Spruce - Genus type,Northeastern Highlands,New Hampshire,Forest: Spruce/Fir Group,3.965665237
Atlantic Maritime,Quebec,Spruce - Genus type,Northeastern Coastal Zone,New Hampshire,Forest: Spruce/Fir Group,8.806069916
Mixedwood Plains,Quebec,Spruce - Genus type,Northeastern Highlands,New York,Forest: Spruce/Fir Group,5.453659502
Atlantic Maritime,Quebec,Spruce - Genus type,Northeastern Coastal Zone,New York,Forest: Spruce/Fir Group,9.830567424
Mixedwood Plains,Quebec,Spruce - Genus type,Northern Allegheny Plateau,New York,Forest: Spruce/Fir Group,7.193464384
Mixedwood Plains,Quebec,Spruce - Genus type,Eastern Great Lakes Lowlands,New York,Forest: Spruce/Fir Group,7.604544493
Mixedwood Plains,Ontario,Spruce - Genus type,North Central Appalachians,Pennsylvania,Forest: Spruce/Fir Group,7.604985396
Mixedwood Plains,Ontario,Spruce - Genus type,Ridge and Valley,Pennsylvania,Forest: Spruce/Fir Group,9.684219098
Atlantic Maritime,Quebec,Spruce - Genus type,Northeastern Coastal Zone,Rhode Island,Forest: Spruce/Fir Group,9.980723706
Montane Cordillera,Alberta,Spruce - Genus type,Middle Rockies,South Dakota,Forest: Spruce/Fir Group,3.705287291
Mixedwood Plains,Quebec,Spruce - Genus type,Northeastern Highlands,Vermont,Forest: Spruce/Fir Group,4.920451921
Mixedwood Plains,Quebec,Spruce - Genus type,Eastern Great Lakes Lowlands,Vermont,Forest: Spruce/Fir Group,7.580710706
