StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Amount
Sierra Nevada,Intensification: Open to Low,Intensification,2012,2016,0
Central California Foothills and Coastal Mountains,Intensification: Open to Low,Intensification,2012,2016,120
Central California Valley,Intensification: Open to Low,Intensification,2012,2016,140
Southern California Mountains,Intensification: Open to Low,Intensification,2012,2016,0
Eastern Cascades Slopes and Foothills,Intensification: Open to Low,Intensification,2012,2016,0
Columbia Plateau,Intensification: Open to Low,Intensification,2012,2016,20
Blue Mountains,Intensification: Open to Low,Intensification,2012,2016,0
Snake River Plain,Intensification: Open to Low,Intensification,2012,2016,100
Central Basin and Range,Intensification: Open to Low,Intensification,2012,2016,80
Mojave Basin and Range,Intensification: Open to Low,Intensification,2012,2016,40
Northern Rockies,Intensification: Open to Low,Intensification,2012,2016,20
Idaho Batholith,Intensification: Open to Low,Intensification,2012,2016,0
Middle Rockies,Intensification: Open to Low,Intensification,2012,2016,20
Wyoming Basin,Intensification: Open to Low,Intensification,2012,2016,0
Wasatch and Uinta Mountains,Intensification: Open to Low,Intensification,2012,2016,20
Colorado Plateaus,Intensification: Open to Low,Intensification,2012,2016,20
Southern Rockies,Intensification: Open to Low,Intensification,2012,2016,0
Arizona/New Mexico Plateau,Intensification: Open to Low,Intensification,2012,2016,40
Arizona/New Mexico Mountains,Intensification: Open to Low,Intensification,2012,2016,0
Chihuahuan Deserts,Intensification: Open to Low,Intensification,2012,2016,0
High Plains,Intensification: Open to Low,Intensification,2012,2016,100
Southwestern Tablelands,Intensification: Open to Low,Intensification,2012,2016,0
Central Great Plains,Intensification: Open to Low,Intensification,2012,2016,180
Flint Hills,Intensification: Open to Low,Intensification,2012,2016,0
Cross Timbers,Intensification: Open to Low,Intensification,2012,2016,180
Edwards Plateau,Intensification: Open to Low,Intensification,2012,2016,160
Southern Texas Plains,Intensification: Open to Low,Intensification,2012,2016,0
Texas Blackland Prairies,Intensification: Open to Low,Intensification,2012,2016,300
East Central Texas Plains,Intensification: Open to Low,Intensification,2012,2016,20
Western Gulf Coastal Plain,Intensification: Open to Low,Intensification,2012,2016,180
South Central Plains,Intensification: Open to Low,Intensification,2012,2016,40
Ouachita Mountains,Intensification: Open to Low,Intensification,2012,2016,20
Arkansas Valley,Intensification: Open to Low,Intensification,2012,2016,40
Boston Mountains,Intensification: Open to Low,Intensification,2012,2016,0
Ozark Highlands,Intensification: Open to Low,Intensification,2012,2016,80
Central Irregular Plains,Intensification: Open to Low,Intensification,2012,2016,60
Canadian Rockies,Intensification: Open to Low,Intensification,2012,2016,0
Northwestern Glaciated Plains,Intensification: Open to Low,Intensification,2012,2016,0
Northwestern Great Plains,Intensification: Open to Low,Intensification,2012,2016,20
Nebraska Sand Hills,Intensification: Open to Low,Intensification,2012,2016,0
Piedmont,Intensification: Open to Low,Intensification,2012,2016,520
Northern Glaciated Plains,Intensification: Open to Low,Intensification,2012,2016,40
Western Corn Belt Plains,Intensification: Open to Low,Intensification,2012,2016,220
Lake Agassiz Plain,Intensification: Open to Low,Intensification,2012,2016,40
Northern Minnesota Wetlands,Intensification: Open to Low,Intensification,2012,2016,0
Northern Lakes and Forests,Intensification: Open to Low,Intensification,2012,2016,40
North Central Hardwood Forests,Intensification: Open to Low,Intensification,2012,2016,100
Driftless Area,Intensification: Open to Low,Intensification,2012,2016,40
Southeastern Wisconsin Till Plains,Intensification: Open to Low,Intensification,2012,2016,60
Central Corn Belt Plains,Intensification: Open to Low,Intensification,2012,2016,80
Eastern Corn Belt Plains,Intensification: Open to Low,Intensification,2012,2016,200
Southern Michigan/Northern Indiana Drift Plains,Intensification: Open to Low,Intensification,2012,2016,220
Huron/Erie Lake Plains,Intensification: Open to Low,Intensification,2012,2016,140
Northeastern Highlands,Intensification: Open to Low,Intensification,2012,2016,0
Northeastern Coastal Zone,Intensification: Open to Low,Intensification,2012,2016,340
Northern Allegheny Plateau,Intensification: Open to Low,Intensification,2012,2016,20
Erie Drift Plain,Intensification: Open to Low,Intensification,2012,2016,80
North Central Appalachians,Intensification: Open to Low,Intensification,2012,2016,0
Middle Atlantic Coastal Plain,Intensification: Open to Low,Intensification,2012,2016,200
Northern Piedmont,Intensification: Open to Low,Intensification,2012,2016,220
Southeastern Plains,Intensification: Open to Low,Intensification,2012,2016,500
Blue Ridge,Intensification: Open to Low,Intensification,2012,2016,40
Ridge and Valley,Intensification: Open to Low,Intensification,2012,2016,180
Southwestern Appalachians,Intensification: Open to Low,Intensification,2012,2016,20
Central Appalachians,Intensification: Open to Low,Intensification,2012,2016,0
Western Allegheny Plateau,Intensification: Open to Low,Intensification,2012,2016,100
Interior Plateau,Intensification: Open to Low,Intensification,2012,2016,220
Interior River Valleys and Hills,Intensification: Open to Low,Intensification,2012,2016,220
Mississippi Alluvial Plain,Intensification: Open to Low,Intensification,2012,2016,40
Mississippi Valley Loess Plains,Intensification: Open to Low,Intensification,2012,2016,140
Southern Coastal Plain,Intensification: Open to Low,Intensification,2012,2016,700
Southern Florida Coastal Plain,Intensification: Open to Low,Intensification,2012,2016,200
North Cascades,Intensification: Open to Low,Intensification,2012,2016,0
Klamath Mountains/California High North Coast Range,Intensification: Open to Low,Intensification,2012,2016,20
Madrean Archipelago,Intensification: Open to Low,Intensification,2012,2016,0
Northern Basin and Range,Intensification: Open to Low,Intensification,2012,2016,0
Sonoran Basin and Range,Intensification: Open to Low,Intensification,2012,2016,140
Acadian Plains and Hills,Intensification: Open to Low,Intensification,2012,2016,40
Eastern Great Lakes Lowlands,Intensification: Open to Low,Intensification,2012,2016,160
Atlantic Coastal Pine Barrens,Intensification: Open to Low,Intensification,2012,2016,160
Southern California/Northern Baja Coast,Intensification: Open to Low,Intensification,2012,2016,200
Coast Range,Intensification: Open to Medium,Intensification,2001,2006,20
Puget Lowland,Intensification: Open to Medium,Intensification,2001,2006,240
Willamette Valley,Intensification: Open to Medium,Intensification,2001,2006,120
Cascades,Intensification: Open to Medium,Intensification,2001,2006,0
Sierra Nevada,Intensification: Open to Medium,Intensification,2001,2006,0
Central California Foothills and Coastal Mountains,Intensification: Open to Medium,Intensification,2001,2006,320
Central California Valley,Intensification: Open to Medium,Intensification,2001,2006,540
Southern California Mountains,Intensification: Open to Medium,Intensification,2001,2006,0
Eastern Cascades Slopes and Foothills,Intensification: Open to Medium,Intensification,2001,2006,0
Columbia Plateau,Intensification: Open to Medium,Intensification,2001,2006,260
Blue Mountains,Intensification: Open to Medium,Intensification,2001,2006,0
Snake River Plain,Intensification: Open to Medium,Intensification,2001,2006,240
Central Basin and Range,Intensification: Open to Medium,Intensification,2001,2006,80
Mojave Basin and Range,Intensification: Open to Medium,Intensification,2001,2006,280
Northern Rockies,Intensification: Open to Medium,Intensification,2001,2006,20
Idaho Batholith,Intensification: Open to Medium,Intensification,2001,2006,0
Middle Rockies,Intensification: Open to Medium,Intensification,2001,2006,20
Wyoming Basin,Intensification: Open to Medium,Intensification,2001,2006,0
Wasatch and Uinta Mountains,Intensification: Open to Medium,Intensification,2001,2006,0
Colorado Plateaus,Intensification: Open to Medium,Intensification,2001,2006,20
Southern Rockies,Intensification: Open to Medium,Intensification,2001,2006,40
Arizona/New Mexico Plateau,Intensification: Open to Medium,Intensification,2001,2006,80
Arizona/New Mexico Mountains,Intensification: Open to Medium,Intensification,2001,2006,40
Chihuahuan Deserts,Intensification: Open to Medium,Intensification,2001,2006,80
High Plains,Intensification: Open to Medium,Intensification,2001,2006,340
Southwestern Tablelands,Intensification: Open to Medium,Intensification,2001,2006,40
Central Great Plains,Intensification: Open to Medium,Intensification,2001,2006,500
Flint Hills,Intensification: Open to Medium,Intensification,2001,2006,20
Cross Timbers,Intensification: Open to Medium,Intensification,2001,2006,460
Edwards Plateau,Intensification: Open to Medium,Intensification,2001,2006,180
Southern Texas Plains,Intensification: Open to Medium,Intensification,2001,2006,100
Texas Blackland Prairies,Intensification: Open to Medium,Intensification,2001,2006,860
East Central Texas Plains,Intensification: Open to Medium,Intensification,2001,2006,120
Western Gulf Coastal Plain,Intensification: Open to Medium,Intensification,2001,2006,960
South Central Plains,Intensification: Open to Medium,Intensification,2001,2006,280
Ouachita Mountains,Intensification: Open to Medium,Intensification,2001,2006,40
Arkansas Valley,Intensification: Open to Medium,Intensification,2001,2006,140
Boston Mountains,Intensification: Open to Medium,Intensification,2001,2006,0
Ozark Highlands,Intensification: Open to Medium,Intensification,2001,2006,180
Central Irregular Plains,Intensification: Open to Medium,Intensification,2001,2006,160
Canadian Rockies,Intensification: Open to Medium,Intensification,2001,2006,0
Northwestern Glaciated Plains,Intensification: Open to Medium,Intensification,2001,2006,60
Northwestern Great Plains,Intensification: Open to Medium,Intensification,2001,2006,80
Nebraska Sand Hills,Intensification: Open to Medium,Intensification,2001,2006,0
Piedmont,Intensification: Open to Medium,Intensification,2001,2006,1680
Northern Glaciated Plains,Intensification: Open to Medium,Intensification,2001,2006,140
Western Corn Belt Plains,Intensification: Open to Medium,Intensification,2001,2006,620
Lake Agassiz Plain,Intensification: Open to Medium,Intensification,2001,2006,40
Northern Minnesota Wetlands,Intensification: Open to Medium,Intensification,2001,2006,0
Northern Lakes and Forests,Intensification: Open to Medium,Intensification,2001,2006,240
North Central Hardwood Forests,Intensification: Open to Medium,Intensification,2001,2006,620
Driftless Area,Intensification: Open to Medium,Intensification,2001,2006,160
Southeastern Wisconsin Till Plains,Intensification: Open to Medium,Intensification,2001,2006,300
Central Corn Belt Plains,Intensification: Open to Medium,Intensification,2001,2006,280
Eastern Corn Belt Plains,Intensification: Open to Medium,Intensification,2001,2006,700
Southern Michigan/Northern Indiana Drift Plains,Intensification: Open to Medium,Intensification,2001,2006,360
Huron/Erie Lake Plains,Intensification: Open to Medium,Intensification,2001,2006,240
Northeastern Highlands,Intensification: Open to Medium,Intensification,2001,2006,80
Northeastern Coastal Zone,Intensification: Open to Medium,Intensification,2001,2006,880
Northern Allegheny Plateau,Intensification: Open to Medium,Intensification,2001,2006,40
Erie Drift Plain,Intensification: Open to Medium,Intensification,2001,2006,340
North Central Appalachians,Intensification: Open to Medium,Intensification,2001,2006,20
Middle Atlantic Coastal Plain,Intensification: Open to Medium,Intensification,2001,2006,700
Northern Piedmont,Intensification: Open to Medium,Intensification,2001,2006,580
Southeastern Plains,Intensification: Open to Medium,Intensification,2001,2006,1060
Blue Ridge,Intensification: Open to Medium,Intensification,2001,2006,40
Ridge and Valley,Intensification: Open to Medium,Intensification,2001,2006,960
Southwestern Appalachians,Intensification: Open to Medium,Intensification,2001,2006,100
Central Appalachians,Intensification: Open to Medium,Intensification,2001,2006,60
Western Allegheny Plateau,Intensification: Open to Medium,Intensification,2001,2006,240
Interior Plateau,Intensification: Open to Medium,Intensification,2001,2006,600
Interior River Valleys and Hills,Intensification: Open to Medium,Intensification,2001,2006,320
Mississippi Alluvial Plain,Intensification: Open to Medium,Intensification,2001,2006,540
Mississippi Valley Loess Plains,Intensification: Open to Medium,Intensification,2001,2006,440
Southern Coastal Plain,Intensification: Open to Medium,Intensification,2001,2006,2140
Southern Florida Coastal Plain,Intensification: Open to Medium,Intensification,2001,2006,320
North Cascades,Intensification: Open to Medium,Intensification,2001,2006,20
Klamath Mountains/California High North Coast Range,Intensification: Open to Medium,Intensification,2001,2006,60
Madrean Archipelago,Intensification: Open to Medium,Intensification,2001,2006,0
Northern Basin and Range,Intensification: Open to Medium,Intensification,2001,2006,0
Sonoran Basin and Range,Intensification: Open to Medium,Intensification,2001,2006,400
Acadian Plains and Hills,Intensification: Open to Medium,Intensification,2001,2006,20
Eastern Great Lakes Lowlands,Intensification: Open to Medium,Intensification,2001,2006,400
Atlantic Coastal Pine Barrens,Intensification: Open to Medium,Intensification,2001,2006,600
Southern California/Northern Baja Coast,Intensification: Open to Medium,Intensification,2001,2006,1100
Coast Range,Intensification: Open to Medium,Intensification,2007,2011,80
Puget Lowland,Intensification: Open to Medium,Intensification,2007,2011,220
Willamette Valley,Intensification: Open to Medium,Intensification,2007,2011,0
Cascades,Intensification: Open to Medium,Intensification,2007,2011,0
Sierra Nevada,Intensification: Open to Medium,Intensification,2007,2011,0
Central California Foothills and Coastal Mountains,Intensification: Open to Medium,Intensification,2007,2011,180
Central California Valley,Intensification: Open to Medium,Intensification,2007,2011,340
Southern California Mountains,Intensification: Open to Medium,Intensification,2007,2011,40
Eastern Cascades Slopes and Foothills,Intensification: Open to Medium,Intensification,2007,2011,0
Columbia Plateau,Intensification: Open to Medium,Intensification,2007,2011,200
Blue Mountains,Intensification: Open to Medium,Intensification,2007,2011,0
Snake River Plain,Intensification: Open to Medium,Intensification,2007,2011,120
Central Basin and Range,Intensification: Open to Medium,Intensification,2007,2011,300
Mojave Basin and Range,Intensification: Open to Medium,Intensification,2007,2011,240
Northern Rockies,Intensification: Open to Medium,Intensification,2007,2011,40
Idaho Batholith,Intensification: Open to Medium,Intensification,2007,2011,0
Middle Rockies,Intensification: Open to Medium,Intensification,2007,2011,100
Wyoming Basin,Intensification: Open to Medium,Intensification,2007,2011,20
Wasatch and Uinta Mountains,Intensification: Open to Medium,Intensification,2007,2011,20
Colorado Plateaus,Intensification: Open to Medium,Intensification,2007,2011,20
Southern Rockies,Intensification: Open to Medium,Intensification,2007,2011,0
Arizona/New Mexico Plateau,Intensification: Open to Medium,Intensification,2007,2011,80
Arizona/New Mexico Mountains,Intensification: Open to Medium,Intensification,2007,2011,20
Chihuahuan Deserts,Intensification: Open to Medium,Intensification,2007,2011,40
High Plains,Intensification: Open to Medium,Intensification,2007,2011,360
Southwestern Tablelands,Intensification: Open to Medium,Intensification,2007,2011,40
Central Great Plains,Intensification: Open to Medium,Intensification,2007,2011,360
Flint Hills,Intensification: Open to Medium,Intensification,2007,2011,0
Cross Timbers,Intensification: Open to Medium,Intensification,2007,2011,300
Edwards Plateau,Intensification: Open to Medium,Intensification,2007,2011,140
Southern Texas Plains,Intensification: Open to Medium,Intensification,2007,2011,60
Texas Blackland Prairies,Intensification: Open to Medium,Intensification,2007,2011,700
East Central Texas Plains,Intensification: Open to Medium,Intensification,2007,2011,100
Western Gulf Coastal Plain,Intensification: Open to Medium,Intensification,2007,2011,1220
South Central Plains,Intensification: Open to Medium,Intensification,2007,2011,260
Ouachita Mountains,Intensification: Open to Medium,Intensification,2007,2011,80
Arkansas Valley,Intensification: Open to Medium,Intensification,2007,2011,20
Boston Mountains,Intensification: Open to Medium,Intensification,2007,2011,0
Ozark Highlands,Intensification: Open to Medium,Intensification,2007,2011,80
Central Irregular Plains,Intensification: Open to Medium,Intensification,2007,2011,280
Canadian Rockies,Intensification: Open to Medium,Intensification,2007,2011,0
Northwestern Glaciated Plains,Intensification: Open to Medium,Intensification,2007,2011,20
Northwestern Great Plains,Intensification: Open to Medium,Intensification,2007,2011,120
Nebraska Sand Hills,Intensification: Open to Medium,Intensification,2007,2011,0
Piedmont,Intensification: Open to Medium,Intensification,2007,2011,1340
Northern Glaciated Plains,Intensification: Open to Medium,Intensification,2007,2011,0
Western Corn Belt Plains,Intensification: Open to Medium,Intensification,2007,2011,460
