StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Amount
Sonoran Basin and Range,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,0
Acadian Plains and Hills,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,14300
Eastern Great Lakes Lowlands,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,700
Atlantic Coastal Pine Barrens,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,1200
Southern California/Northern Baja Coast,Forest Harvest: Forest Clearcut,Forest Harvest,2004,2004,500
Coast Range,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,60100
Puget Lowland,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,8100
Willamette Valley,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,6100
Cascades,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,49700
Sierra Nevada,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,22400
Central California Foothills and Coastal Mountains,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,1000
Central California Valley,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,100
Southern California Mountains,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,4300
Eastern Cascades Slopes and Foothills,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,22900
Columbia Plateau,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,500
Blue Mountains,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,11700
Snake River Plain,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,100
Central Basin and Range,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,2400
Mojave Basin and Range,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,100
Northern Rockies,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,57700
Idaho Batholith,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,5300
Middle Rockies,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,18900
Wyoming Basin,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,2900
Wasatch and Uinta Mountains,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,4000
Colorado Plateaus,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,2900
Southern Rockies,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,10000
Arizona/New Mexico Plateau,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,100
Arizona/New Mexico Mountains,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,6600
Chihuahuan Deserts,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,400
High Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,0
Southwestern Tablelands,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,0
Central Great Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,0
Flint Hills,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,0
Cross Timbers,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,400
Edwards Plateau,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,1800
Southern Texas Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,0
Texas Blackland Prairies,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,600
East Central Texas Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,3900
Western Gulf Coastal Plain,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,8400
South Central Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,191200
Ouachita Mountains,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,100
Arkansas Valley,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,0
Boston Mountains,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,0
Ozark Highlands,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,3400
Central Irregular Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,0
Canadian Rockies,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,3100
Northwestern Glaciated Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,0
Northwestern Great Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,3300
Nebraska Sand Hills,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,0
Piedmont,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,108200
Northern Glaciated Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,0
Western Corn Belt Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,800
Lake Agassiz Plain,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,0
Northern Minnesota Wetlands,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,1200
Northern Lakes and Forests,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,36700
North Central Hardwood Forests,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,2900
Driftless Area,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,600
Southeastern Wisconsin Till Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,0
Central Corn Belt Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,100
Eastern Corn Belt Plains,Forest Harvest: Forest Clearcut,Forest Harvest,2005,2005,300
