StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value
Northern Lakes and Forests,Fire,Fire,2006,2006,3200
North Central Hardwood Forests,Fire,Fire,2006,2006,0
Driftless Area,Fire,Fire,2006,2006,0
Southeastern Wisconsin Till Plains,Fire,Fire,2006,2006,0
Central Corn Belt Plains,Fire,Fire,2006,2006,0
Eastern Corn Belt Plains,Fire,Fire,2006,2006,0
Southern Michigan/Northern Indiana Drift Plains,Fire,Fire,2006,2006,0
Huron/Erie Lake Plains,Fire,Fire,2006,2006,0
Northeastern Highlands,Fire,Fire,2006,2006,0
Northeastern Coastal Zone,Fire,Fire,2006,2006,0
Northern Allegheny Plateau,Fire,Fire,2006,2006,0
Erie Drift Plain,Fire,Fire,2006,2006,0
North Central Appalachians,Fire,Fire,2006,2006,0
Middle Atlantic Coastal Plain,Fire,Fire,2006,2006,0
Northern Piedmont,Fire,Fire,2006,2006,0
Southeastern Plains,Fire,Fire,2006,2006,0
Blue Ridge,Fire,Fire,2006,2006,0
Ridge and Valley,Fire,Fire,2006,2006,0
Southwestern Appalachians,Fire,Fire,2006,2006,0
Central Appalachians,Fire,Fire,2006,2006,0
Western Allegheny Plateau,Fire,Fire,2006,2006,0
Interior Plateau,Fire,Fire,2006,2006,0
Interior River Valleys and Hills,Fire,Fire,2006,2006,0
Mississippi Alluvial Plain,Fire,Fire,2006,2006,0
Mississippi Valley Loess Plains,Fire,Fire,2006,2006,0
Southern Coastal Plain,Fire,Fire,2006,2006,0
Southern Florida Coastal Plain,Fire,Fire,2006,2006,1900
North Cascades,Fire,Fire,2006,2006,26300
Klamath Mountains/California High North Coast Range,Fire,Fire,2006,2006,8900
Madrean Archipelago,Fire,Fire,2006,2006,11600
Northern Basin and Range,Fire,Fire,2006,2006,1000
Sonoran Basin and Range,Fire,Fire,2006,2006,1000
Acadian Plains and Hills,Fire,Fire,2006,2006,0
Eastern Great Lakes Lowlands,Fire,Fire,2006,2006,0
Atlantic Coastal Pine Barrens,Fire,Fire,2006,2006,0
Southern California/Northern Baja Coast,Fire,Fire,2006,2006,14800
Coast Range,Fire,Fire,2007,2007,9300
Puget Lowland,Fire,Fire,2007,2007,0
Willamette Valley,Fire,Fire,2007,2007,0
Cascades,Fire,Fire,2007,2007,55400
Sierra Nevada,Fire,Fire,2007,2007,21200
Central California Foothills and Coastal Mountains,Fire,Fire,2007,2007,19300
Central California Valley,Fire,Fire,2007,2007,900
Southern California Mountains,Fire,Fire,2007,2007,117400
Eastern Cascades Slopes and Foothills,Fire,Fire,2007,2007,25100
Columbia Plateau,Fire,Fire,2007,2007,4300
Blue Mountains,Fire,Fire,2007,2007,7000
Snake River Plain,Fire,Fire,2007,2007,10600
Central Basin and Range,Fire,Fire,2007,2007,7000
Mojave Basin and Range,Fire,Fire,2007,2007,16100
Northern Rockies,Fire,Fire,2007,2007,31400
Idaho Batholith,Fire,Fire,2007,2007,69900
Middle Rockies,Fire,Fire,2007,2007,106600
Wyoming Basin,Fire,Fire,2007,2007,56700
Wasatch and Uinta Mountains,Fire,Fire,2007,2007,20500
Colorado Plateaus,Fire,Fire,2007,2007,11200
Southern Rockies,Fire,Fire,2007,2007,9700
Arizona/New Mexico Plateau,Fire,Fire,2007,2007,100
Arizona/New Mexico Mountains,Fire,Fire,2007,2007,129700
Chihuahuan Deserts,Fire,Fire,2007,2007,0
High Plains,Fire,Fire,2007,2007,0
Southwestern Tablelands,Fire,Fire,2007,2007,600
Central Great Plains,Fire,Fire,2007,2007,0
Flint Hills,Fire,Fire,2007,2007,0
Cross Timbers,Fire,Fire,2007,2007,0
Edwards Plateau,Fire,Fire,2007,2007,0
Southern Texas Plains,Fire,Fire,2007,2007,0
Texas Blackland Prairies,Fire,Fire,2007,2007,0
East Central Texas Plains,Fire,Fire,2007,2007,0
Western Gulf Coastal Plain,Fire,Fire,2007,2007,0
South Central Plains,Fire,Fire,2007,2007,0
Ouachita Mountains,Fire,Fire,2007,2007,0
Arkansas Valley,Fire,Fire,2007,2007,0
Boston Mountains,Fire,Fire,2007,2007,0
Ozark Highlands,Fire,Fire,2007,2007,0
Central Irregular Plains,Fire,Fire,2007,2007,0
Canadian Rockies,Fire,Fire,2007,2007,121200
Northwestern Glaciated Plains,Fire,Fire,2007,2007,500
Northwestern Great Plains,Fire,Fire,2007,2007,79800
Nebraska Sand Hills,Fire,Fire,2007,2007,0
Piedmont,Fire,Fire,2007,2007,0
Northern Glaciated Plains,Fire,Fire,2007,2007,0
Western Corn Belt Plains,Fire,Fire,2007,2007,0
Lake Agassiz Plain,Fire,Fire,2007,2007,0
Northern Minnesota Wetlands,Fire,Fire,2007,2007,0
Northern Lakes and Forests,Fire,Fire,2007,2007,2700
North Central Hardwood Forests,Fire,Fire,2007,2007,0
Driftless Area,Fire,Fire,2007,2007,0
Southeastern Wisconsin Till Plains,Fire,Fire,2007,2007,0
Central Corn Belt Plains,Fire,Fire,2007,2007,0
Eastern Corn Belt Plains,Fire,Fire,2007,2007,0
Southern Michigan/Northern Indiana Drift Plains,Fire,Fire,2007,2007,0
Huron/Erie Lake Plains,Fire,Fire,2007,2007,0
Northeastern Highlands,Fire,Fire,2007,2007,0
Northeastern Coastal Zone,Fire,Fire,2007,2007,0
Northern Allegheny Plateau,Fire,Fire,2007,2007,0
Erie Drift Plain,Fire,Fire,2007,2007,0
North Central Appalachians,Fire,Fire,2007,2007,0
Middle Atlantic Coastal Plain,Fire,Fire,2007,2007,0
Northern Piedmont,Fire,Fire,2007,2007,0
Southeastern Plains,Fire,Fire,2007,2007,0
Blue Ridge,Fire,Fire,2007,2007,0
Ridge and Valley,Fire,Fire,2007,2007,0
Southwestern Appalachians,Fire,Fire,2007,2007,0
Central Appalachians,Fire,Fire,2007,2007,0
Western Allegheny Plateau,Fire,Fire,2007,2007,0
Interior Plateau,Fire,Fire,2007,2007,0
Interior River Valleys and Hills,Fire,Fire,2007,2007,0
Mississippi Alluvial Plain,Fire,Fire,2007,2007,0
